,Görüş,Clean,kelimeler2,sonuçlar,label,binary_sonuçlar
12,"Pratik, güzel bir ürün. Çekiş gücü gayet iyi. Benim gibi tek yaşayanların ufak tefek işlerini çok rahat görüyor. Tek handikapı B sınıfı olması, o konuda takıntılı olduğum için 4 puan veriyorum.","pratik , güzel bir ürün . çekiş gücü gayet iyi . benim gibi tek yaşayanların ufak tefek işlerini çok rahat görüyor . tek handikapı b sınıfı olması , o konuda takıntılı olduğum için 4 puan veriyorum .","güzel, gayet, iyi, tek, ufak, çok, rahat, tek",2.145954576655624,1,1
13,1 GÜNDE ELİME ULAŞTI Bİ KAÇ GÜN KULANIDIKTAN SONRA YORUM YAPMAK İSTEDİM.GERÇEKTEN ŞIK BİR TELEFON DAHA ÖNCE LG G5 KULLANIYORDUM MEMNUNUM ÖNERİRİM.,1 günde elime ulaştı bir kaç gün kulanıdıktan sonra yorum yapmak istedim . gerçekten şık bir telefon daha önce lg g5 kullanıyordum memnunum öneririm .,"kaç, sonra, gerçekten, şık, daha, önce, memnun",0.7712418300653594,1,1
14,Sorunsuz tam zamaninda geldi.fiyat kalite tatminkar,sorunsuz tam zamanında geldi . fiyat kalite tatminkar,"tam, tatminkâr",0.07189542483660132,1,1
15,Olumlu yönleri: Güzel şık fakat çok hassas kırılacak gibi duruyor,olumlu yönleri : güzel şık fakat çok hassas kırılacak gibi duruyor,"olumlu, güzel, şık, çok, hassas",1.485823857701376,1,1
16,Patatesi bilmem ama köfteyi şahane yapıyo 👍,patatesi bilmem ama köfteyi şahane yapıyor 👍,şahane,0.013071895424836602,1,1
17,eh güzel orta dereceli,eh güzel orta dereceli,güzel,0.4553376906318083,1,1
18,"Ürünü çeyizime aldım, paketi açıp denedim hemen ısındı inşallah iyidir :)","ürünü çeyizime aldım , paketi açıp denedim hemen ısındı inşallah iyidir :)","hemen, iyi",0.4553376906318083,1,1
19,Ürün elime gayet hızlı ulaştı. Fiyatına göre kullanışlı iyi bir ürün,ürün elime gayet hızlı ulaştı . fiyatına göre kullanışlı iyi bir ürün,"gayet, iyi",0.5686274509803921,1,1
20,Çok çok güzel bayıldım,çok çok güzel bayıldım,"çok, çok, güzel",2.4553376906318083,1,1
21,Güzel ürün çok memnunum,güzel ürün çok memnunum,"güzel, çok, memnun",1.6666666666666667,1,1
22,"Beklediğimden daha sessiz çalışması var onun dışında tecrübe edecek
vaktim olmadı",beklediğimden daha sessiz çalışması var onun dışında tecrübe edecek vaktim olmadı,"daha, var",0.4771241830065359,1,1
23,"urun çok güzel kapalıda plastik yerine metal olsaymış dahada güzel
olurmuş...cok beğendim güzel urun",ürün çok güzel kapalıda plastik yerine metal olsaymış dahada güzel olurmuş ... çok beğendim güzel ürün,"çok, güzel, kapalı, yerine, güzel, çok, güzel",3.33581042767183,1,1
24,"2400 wat çekiş gücü oldukça iyi ,suyu fazla koyunca ağzından dışarı atıyor dıkkat etmek lazım,makıneye göre diğer aksesuarları pek sağlam değil özellikle uzatma hortumu daha ıyı olabilirdir.tavsiye olunur...","2400 watt çekiş gücü oldukça iyi , suyu fazla koyunca ağzından dışarı atıyor dikkat etmek lazım , makineye göre diğer aksesuarları pek sağlam değil özellikle uzatma hortumu daha iyi olabilirdir . tavsiye olunur ...","oldukça, iyi, fazla, lazım, diğer, pek, sağlam, özellikle, daha, iyi",1.4400871459694988,1,1
25,HİZLİ KARGO GUVENİLİR SATİCİ TAVSİYE EDERİM,hızlı kargo güvenilir satıcı tavsiye ederim,,0.0,1,-1
26,Henüz kullanmadım ama paketleme gayet iyiydi. Tatilde eşarplarımı ütülemek için aldım memnun kalacağımı düşünüyorum.,henüz kullanmadım ama paketleme gayet iyiydi . tatilde eşarplarımı ütülemek için aldım memnun kalacağımı düşünüyorum .,"henüz, gayet, iyi, memnun",0.7046139612618258,1,1
27,"Ürün dün elime ulaştı, ürünün çekim gücü güzel, el süpürgesi olarak da kullanılabilmesi büyük bir avantaj, kullanırken keyif alacağınız hafif ve ergonomik bir ürün... tavsiye ederim...","ürün dün elime ulaştı , ürünün çekim gücü güzel , el süpürgesi olarak da kullanılabilmesi büyük bir avantaj , kullanırken keyif alacağınız hafif ve ergonomik bir ürün ... tavsiye ederim ...","güzel, büyük, hafif, ergonomik",0.5555555555555556,1,1
28,"Ürün, çalışan bayanlar için çok pratik.","ürün , çalışan bayanlar için çok pratik .",çok,1.0,1,1
29,phone 6 s 32 gb. ürunü beğendim.Tavsiye ederim.,phone 6 s 32 gb . ürünü beğendim . tavsiye ederim .,,0.0,1,-1
30,Hem fiyat açısından trendyoldan daha uyguna aldım hem de harikalar yaratan bir ürüne sahip oldum,hem fiyat açısından trendyoldan daha uyguna aldım hem de harikalar yaratan bir ürüne sahip oldum,"daha, uygun, harika",0.4662309368191721,1,1
31,"Ürünü çeyizim için aldım 1 günde elime ulaştı paketlemesi güzel. Denerken kapağı oturmuyormuş gibi oldu ama çevirmek gerekiyor şimdilik bir sorun yok, üretici firmaya teşekkürler.","ürünü çeyizim için aldım 1 günde elime ulaştı paketlemesi güzel . denerken kapağı ötürmüyormuş gibi oldu ama çevirmek gerekiyor şimdilik bir sorun yok , üretici firmaya teşekkürler .","güzel, şimdilik, yok",-0.522875816993464,1,0
32,"indirimde almıştım,  ceyiz olarak, beğendim.","indirimde almıştım , çeyiz olarak , beğendim .",,0.0,1,-1
33,"Izgaraları kesinlikle yapışma yapmıyor, kısa sürede ısıtıyor. Çok memnun kaldım.","ızgaraları kesinlikle yapışma yapmıyor , kısa sürede ısıtıyor . çok memnun kaldım .","kesin, kısa, çok, memnun",1.357298474945534,1,1
34,"kullanışlı. annem ve babam için 1'er tane aldım. torunları ile görüntülü konuşma yapıp resimli cuma mesajları gönderebilecekleri, fotoğraf çekebilecekleri, whatsapp'da yazışabilecekleri, candy crush oynayabilecekleri,  navigasyon olarak kullanabilecekleri (navigasyon ile ilgili babamın yorumu şöyledir: ""bazen yanlış yerlere götürüyor yahu, benim hanım bu konuda daha güvenilir"") bi telefon. çok fazla program ve oyun yüklemezseniz sorun olmuyor. canım annem sürekli reklamlara tıkladığı için bazen telefon yavaşlıyor, arada bir fabrika ayarlarına geri yüklüyoruz sorun kalmıyor. babam da namaz vakitlerini takip ediyor. çok şey beklemeyin, parasının telefonu.","kullanışlı . annem ve babam için 1'er tane aldım . torunları ile görüntülü konuşma yapıp resimli cuma mesajları gönderebilecekleri , fotoğraf çekebilecekleri , Whatsapp'ta yazışabilecekleri , candy crush oynayabilecekleri , navigasyon olarak kullanabilecekleri ( navigasyon ile ilgili babamın yorumu şöyledir : "" bazen yanlış yerlere götürüyor yahu , benim hanım bu konuda daha güvenilir "" ) bir telefon . çok fazla program ve oyun yüklemezseniz sorun olmuyor . canım annem sürekli reklamlara tıkladığı için bazen telefon yavaşlıyor , arada bir fabrika ayarlarına geri yüklüyoruz sorun kalmıyor . babam da namaz vakitlerini takip ediyor . çok şey beklemeyin , parasının telefonu .","şöyle, bazen, yanlış, daha, çok, fazla, sürekli, bazen, geri",1.4718118602083143,1,1
35,"Biraz küçük ama işimizi görüyor, alınabilir","biraz küçük ama işimizi görüyor , alınabilir","biraz, küçük",-0.4246575342465754,1,0
36,"Ürün sağlam, teslimat hızlı","ürün sağlam , teslimat hızlı",sağlam,0.05664488017429194,1,1
37,"ürün anlatıldığı gibi ve paketleme kargo hepsi çok güzeldi. güzel ürün
tavsiye edilir.",ürün anlatıldığı gibi ve paketleme kargo hepsi çok güzeldi . güzel ürün tavsiye edilir .,"çok, güzel, güzel",1.9106753812636166,1,1
38,"5 yildir kullaniyorum bu aldigim 2 ci supurge makinasi .
torbali supurge makinasi kullaniyorum ama arnica bora su filtreli makinanin yerini  tutmuyor toz moz birakmiyor cook guzel bu makinayi uretenlere tesekkur ederim elleri dert gormesin....",5 yıldır kullanıyorum bu aldığım 2 ci süpürge makinası . torbalı süpürge makinası kullanıyorum ama arnica bora su filtreli makinanın yerini tutmuyor toz moz bırakmıyor çook güzel bu makinayı üretenlere teşekkür ederim elleri dert görmesin ... .,güzel,0.4553376906318083,1,1
39,Olumlu yönleri: Tesekkur,olumlu yönleri : teşekkür,olumlu,0.06971677559912855,1,1
40,Güzel sadece çok fazla ses çıkartıyor,güzel sadece çok fazla ses çıkartıyor,"güzel, sadece, çok, fazla",1.259483093085027,1,1
41,tesekur ederim elinize sağlık hızlı kargo ürün güzel ve sessiz çalışıyor,teşekkür ederim elinize sağlık hızlı kargo ürün güzel ve sessiz çalışıyor,güzel,0.4553376906318083,1,1
42,"Ürün elime biraz önce geçti. Açıkcası ilk başta sipariş verirken biraz ikilemde kalmıştım. Ama şuanda iyi bir karar verdiğimi anladım. Sızdırmayla ilgili çok fazla yorum vardı. Bende herhangi bir sızdırma olayı olmadı. Çayı ve suyu gayet sıcak tutuyor,bu yönü gerçekten çok hoşuma gitti. Işıklandırmasıda bence güzel ve şık duruyor. Almayı düşünenlere tavsiye ederim. Fiyatı da normale ve kalitesine göre gayet uygun.","ürün elime biraz önce geçti . açıkçası ilk başta sipariş verirken biraz ikilemde kalmıştım . ama şu anda iyi bir karar verdiğimi anladım . sızdırmayla ilgili çok fazla yorum vardı . bende herhangi bir sızdırma olayı olmadı . çayı ve suyu gayet sıcak tutuyor , bu yönü gerçekten çok hoşuma gitti . Işık'landırmasına bence güzel ve şık duruyor . almayı düşünenlere tavsiye ederim . fiyatı da normale ve kalitesine göre gayet uygun .","biraz, önce, açıkçası, ilk, biraz, iyi, ilgili, çok, fazla, var, herhangi, gayet, sıcak, gerçekten, çok, hoş, güzel, gayet, uygun",3.1968245441251084,1,1
43,ürün on numara güzel.,ürün on numara güzel .,güzel,0.4553376906318083,1,1
44,"Ürün güzel, tavsiye ederim.","ürün güzel , tavsiye ederim .",güzel,0.4553376906318083,1,1
45,Ürünü  3gunde  geldi beğendim hepsi burda ya teşekkürler samsung anlatmaya gerek yok,ürünü günde geldi beğendim hepsi burada ya teşekkürler samsung anlatmaya gerek yok,yok,-1.0,1,0
46,Çok kullanışlı .5 dakikada çay hazır😊,çok kullanışlı . 5 dakikada çay hazır,"çok, hazır",1.008714596949891,1,1
47,"2 gün önce sipariş verdim bu gün elime geçti,Başta hepsi buarada olmak üzere ürünü gönderen FEMAR ELEK.EV ALETLERİ fimasına ve nakliyesinde emeği geçen MNG kargo çalışanlarına yürekten teşekkür ediyorum.siparişim tam,sağlam ve sorunsuz olarak teslim edildi.süpürgeyi hemen açıp denedik, emiş gücü şahane, sesi ise eski süpürgeye oranla bayağı sessiz, toz haznesinin 2,5 lt. olması avantaj kolay kolay dolmuyor,görselliği ise bambaşka yani uzun lafın kısası ben memnun kaldım,alacak olanlara tavsiye ederim,ilerisiniiii yaşayıp kullanıp görecez,EEEE artık ,5 YILDIZ VERMEZSEM HAKSIZLIK OLUR.","2 gün önce sipariş verdim bu gün elime geçti , başta hepsi bu arada olmak üzere ürünü gönderen Fema'n elek . ev aletleri firmasına ve nakliyesinde emeği geçen mng kargo çalışanlarına yürekten teşekkür ediyorum . siparişim tam , sağlam ve sorunsuz olarak teslim edildi . süpürgeyi hemen açıp denedik , emiş gücü şahane , sesi ise eski süpürgeye oranla bayağı sessiz , toz haznesinin 2,5 lt . olması avantaj kolay kolay dolmuyor , görselliği ise bambaşka yani uzun lafın kısası ben memnun kaldım , alacak olanlara tavsiye ederim , ilerisiniiii yaşayıp kullanıp göreceğiz , eeee artık , 5 yıldız vermezsem haksızlık olur .","önce, tam, sağlam, hemen, şahane, eski, bayağı, kolay, kolay, görsel, bambaşka, uzun, memnun, artık",0.6492076282567821,1,1
48,Ürün çok kaliteli eşim için aldim tavsiye ederim,ürün çok kaliteli eşim için aldım tavsiye ederim,çok,1.0,1,1
49,Ürünü kullandım gayet memnunum,ürünü kullandım gayet memnunum,"gayet, memnun",0.3790849673202614,1,1
50,güzel paketleme.üründe hata yok.tavsiye ederim.,güzel paketleme . üründe hata yok . tavsiye ederim .,"güzel, yok",-0.5446623093681917,1,0
51,Kargo hızlı ürün kaliteli 👍,kargo hızlı ürün kaliteli 👍,,0.0,1,-1
52,"10 dakika çalıştırdık, yorumlarda anlatılandan sonra beklediğim
sessizlikte değil.  çok iyi toz alıyor. hafif halılara öyle bir
yapışıyor ki, hareket ettirmek çok zor, nasıl temizleyeceğiz biz bu
hafif halıları?","10 dakika çalıştırdık , yorumlarda anlatınandan sonra beklediğim sessizlikte değil . çok iyi toz alıyor . hafif halılara öyle bir yapışıyor ki , hareket ettirmek çok zor , nasıl temizleyeceğiz biz bu hafif halıları ?","çok, iyi, hafif, öyle, çok, zor, nasıl, hafif",2.371564150774465,1,1
53,Çok pratik tatil için 👍🏻,çok pratik tatil için 👍🏻,çok,1.0,1,1
54,Hızlı kargo. Çekim gücü çok güzel. Umarım ilerleyen zamanlarda gücü düşmez,hızlı kargo . çekim gücü çok güzel . umarım ilerleyen zamanlarda gücü düşmez,"çok, güzel",1.4553376906318083,1,1
55,"Buharı çok iyi, kırışık azaltması çok etkili. Tavsiye ediyorum. Pişman etmeyen bir ürün.","buharı çok iyi , kırışık azaltması çok etkili . tavsiye ediyorum . pişman etmeyen bir ürün .","çok, iyi, çok, pişman",2.1885426925717013,1,1
56,Olumlu yönleri: mutfakta bir kenarda  el altında olması  hayatımı kolaylaştırdı..ince halımı havaya kaldıracak kadar güçlü. öncesinde de anneme hediye almıştım o da memnun kaldı. haznesi doldukça boşaltıyorum. hiçbir sorun yaşamadım.,olumlu yönleri : mutfakta bir kenarda el altında olması hayatımı kolaylaştırdı . . ince halimi havaya kaldıracak kadar güçlü . öncesinde de anneme hediye almıştım o da memnun kaldı . haznesi doldukça boşaltıyorum . hiçbir sorun yaşamadım .,"olumlu, ince, memnun",0.2984749455337691,1,1
57,çok hızlı teslimat ve mükemmel bir ürün teşekkürler 👏,çok hızlı teslimat ve mükemmel bir ürün teşekkürler 👏,"çok, mükemmel",1.0435729847494553,1,1
58,evet çok güzel çok iyi,evet çok güzel çok iyi,"evet, çok, güzel, çok, iyi",2.886710239651416,1,1
59,Daha fazla paraya gerek yok. Memnun etti. Harika,daha fazla paraya gerek yok . memnun etti . harika,"daha, fazla, yok, memnun, harika",-0.2984749455337691,1,0
60,"harika bir ürün, kesinlikle tavsiye ederim :)","harika bir ürün , kesinlikle tavsiye ederim :)","harika, kesin",0.1895424836601307,1,1
61,Çok ucuza aldığımı düşünüyorum çok teşekkürler media markt,çok ucuza aldığımı düşünüyorum çok teşekkürler mediamarkt,"çok, ucuz, çok",2.047930283224401,1,1
62,kaliteli bir ürün,kaliteli bir ürün,,0.0,1,-1
63,evet beğendim oneririm,evet beğendim öneririm,evet,0.030501089324618737,1,1
64,"ürünü 6 ay önce anneme aldım arada bende kullandim ve uzun süreli kullanım sonrasi kesinlikle tavsiye ederim. kaliteli malzeme, mükemmel taban ve kolay kullanimiyla çok rahat bir ütü","ürünü 6 ay önce anneme aldım arada bende kullandım ve uzun süreli kullanım sonrası kesinlikle tavsiye ederim . kaliteli malzeme , mükemmel taban ve kolay kullanımıyla çok rahat bir ütü","uzun, kesin, mükemmel, kolay, çok, rahat",1.3507625272331156,1,1
65,24 saat olmadan elime ulaştı Kargo paketleme çok özenliydi tavsiye üzerine aldım performansından memnun kalacağıma eminim :),24 saat olmadan elime ulaştı kargo paketleme çok özenliydi tavsiye üzerine aldım performansından memnun kalacağıma eminim :),"çok, memnun, emin",1.2135076252723311,1,1
66,Güzel cekis gucu bu fiyata göre harika malzemesj d ekaliteli sağlam tavsiye ederim tek kotu yani torbalı olması,güzel çekiş gücü bu fiyata göre harika malzemesi d kaliteli sağlam tavsiye ederim tek kötü yanı torbalı olması,"güzel, harika, sağlam, tek, kötü",0.3410182946846927,1,1
67,evet çok güzel beğendim teşekkürler,evet çok güzel beğendim teşekkürler,"evet, çok, güzel",1.485838779956427,1,1
68,çok güzel açıkçası,çok güzel açıkçası,"çok, güzel, açıkçası",1.4705882352941178,1,1
69,Çekiş gücü çok yüksek olmamasına rağmen iyi temizliyor. Su kabını boşaltmak kolay. Kullanımı pratik. Memnun kaldık.,çekiş gücü çok yüksek olmamasına rağmen iyi temizliyor . su kabını boşaltmak kolay . kullanımı pratik . memnun kaldık .,"çok, yüksek, iyi, kolay, pratik, memnun",1.7342047930283226,1,1
70,Kızartma yaparken sıçrayan ve her yeri kirleten yağlardan bıktıysanız işte tam size göre olan bir ürün. Ne kızartırsanız kızartın sıçrama pislenme derdi yok ve her şeyi çok güzel şekilde kızartıyor ve üstelik çok az miktar yağ kullanarak yağdan tasarruf edebilirsiniz. Gerçekten tavsiye edebileceğim bir ürün :),kızartma yaparken sıçrayan ve her yeri kirleten yağlardan bıktıysanız işte tam size göre olan bir ürün . ne kızartırsanız kızartınız sıçrama pislenme derdi yok ve her şeyi çok güzel şekilde kızartıyor ve üstelik çok az miktar yağ kullanarak yağdan tasarruf edebilirsiniz . gerçekten tavsiye edebileceğim bir ürün :),"tam, ne, pis, yok, çok, güzel, üstelik, çok, az, gerçekten",1.5922493807264153,1,1
71,sessiz ve çok şık. çok beğendim,sessiz ve çok şık . çok beğendim,"çok, şık, çok",2.0087145969498907,1,1
72,Olumlu yönleri: ürün göründüğü gibi ve hızlı kargo için teşekkürler,olumlu yönleri : ürün göründüğü gibi ve hızlı kargo için teşekkürler,olumlu,0.06971677559912855,1,1
73,Ürün 3 gün de geldi başarılı görünüyor.Annem sevdi.,ürün 3 gün de geldi başarılı görünüyor . annem sevdi .,,0.0,1,-1
74,Çeyizine aldığım bir ürün parçaları çok kullanışlı tavsiye ederim,çeyizine aldığım bir ürün parçaları çok kullanışlı tavsiye ederim,çok,1.0,1,1
75,Eşime hediye olarak aldım. Çok beğendi ve çok kullanışlı tavsiye ederim.,eşime hediye olarak aldım . çok beğendi ve çok kullanışlı tavsiye ederim .,çok,1.0,1,1
76,Herşeyiyle mükemmel .Rengi süper. gelir gelmez kullandım çok beğendim. Sesi de rahatsızlık vermiyor.,herşeyiyle mükemmel . rengi süper . gelir gelmez kullandım çok beğendim . sesi de rahatsızlık vermiyor .,"mükemmel, süper, çok",1.0893246187363834,1,1
77,"Ürün çok hoş,bu fiyata alabileceğinizin en iyisi.Ayrıca süpriz hediye
için çok teşekkürler:)","ürün çok hoş , bu fiyata alabileceğinizin en iyisi . ayrıca sürpriz hediye için çok teşekkürler :)","çok, hoş, en, iyi, ayrıca",1.6230936819172115,1,1
78,"Bilmem kaçıncı siparişim oldu, kesinlikle çok memnunum. amazzon.com bu kaliteyi bozmayın lutfen","bilmem kaçıncı siparişim oldu , kesinlikle çok memnunum . amazzon.com bu kaliteyi bozmayın lütfen","kaçıncı, kesin, çok, memnun, lütfen",1.3311546840958606,1,1
79,kısa sürede elime ulaştı ve gerçekten çok beğendim herkese de tavsiye ederim.Alıp almama konusunda çook teredutte kalmıstım ama boşuna kalmışımmm gercekten çok guzel,kısa sürede elime ulaştı ve gerçekten çok beğendim herkese de tavsiye ederim . alıp almama konusunda çook tereddütte kalmıştım ama boşuna kalmışım gerçekten çok güzel,"kısa, gerçekten, boşuna, gerçekten, çok, güzel",1.5997403527621095,1,1
80,Süper Çok Beğendim Güzel,süper çok beğendim güzel,"süper, çok, güzel",1.5010893246187365,1,1
81,4 aydır sorunsuz kullanıyorum,4 aydır sorunsuz kullanıyorum,,0.0,1,-1
82,Ürünü çelik diye aldım. Ve büyük  bir  kısmı  çelik yanlız su kaynama  haznesinde hiç plastik olmamasını tercih ederdim. Çelik olmasını sağlık açısından  istemiştim. içersindeki plastik aksamlar beni  üzdü. Plastik aksam  haricinde çok güzel ürün,ürünü çelik diye aldım . ve büyük bir kısmı çelik yanlız su kaynama haznesinde hiç plastik olmamasını tercih ederdim . çelik olmasını sağlık açısından istemiştim . içersindeki plastik aksamlar beni üzdü . plastik aksam haricinde çok güzel ürün,"büyük, hiç, çok, güzel",0.8040111021577582,1,1
83,Ürünü alalı yaklaşık bir sene oluyor hiçbir şikayetimiz yok çok memnunuz .Gönül rahatlığıyla alınabilir.,ürünü alalı yaklaşık bir sene oluyor hiçbir şikayetimiz yok çok memnunuz . gönül rahatlığıyla alınabilir .,"yaklaşık, yok, çok, memnun, rahat",0.289760348583878,1,1
84,"Artık alışverişleri Teknosa'dan yapmayı düşünüyorum. Müşteri güven ister,O da Teknosa'da var. Müşteri ile ilişkileri yerinde. Başka yerden aldığım cihazım 4 aydır teknik serviste olduğunu söyledim..Teknosa görevlisi ise buradan aldığın ürün serviste 20 günü geçerse gel ücretini ben vereyim dedi. Benimde aradığım güven buydu...Böyle olunca Samsung g610 j7 prıme yi güvenle almayı düşünüyorum.","artık alışverişleri teknosadan yapmayı düşünüyorum . müşteri güven ister , o da teknosada var . müşteri ile ilişkileri yerinde . başka yerden aldığım cihazım 4 aydır teknik serviste olduğunu söyledim . . teknosa görevlisi ise buradan aldığın ürün serviste 20 günü geçerse gel ücretini ben vereyim dedi . benimde aradığım güven buydu ... böyle olunca samsung g610 j7 primeyi güvenle almayı düşünüyorum .","artık, başka, teknik, ise, böyle",0.11764705882352941,1,1
85,bence fiyatı cok iyi güzel performans istiyorsanız bu fiyatlarda alabileceginiz en iyi süpürgelerden birisi bu philips markasını zaten cok seviyorum kalite ürünler üretiyor süpürgeleride cok iyi bence düşünmeden alabilirsiniz.,bence fiyatı çok iyi güzel performans istiyorsanız bu fiyatlarda alabileceğiniz en iyi süpürgelerden biri bu philips markasını zaten çok seviyorum kalite ürünler üretiyor süpürgelerimde çok iyi bence düşünmeden alabilirsiniz .,"çok, iyi, güzel, en, iyi, zaten, çok, çok, iyi",4.825708061002179,1,1
86,Hızlı ve sorunsuz teslim oldu. Çok kullanışlı. Buhar fişe taktığın gibi hazır neredeyse.,hızlı ve sorunsuz teslim oldu . çok kullanışlı . buhar fişe taktığın gibi hazır neredeyse .,"çok, hazır, neredeyse",1.0217864923747275,1,1
87,Kargo hızlı ürün güzel,kargo hızlı ürün güzel,güzel,0.4553376906318083,1,1
88,Yenisey ve hepsi burada ikilisine teşekkür ediyorum :) Anneme aldım bu üründen ve ertesi gün elimize ulaştı. Ürün çok güzel cezve görevi görüyor ve taşma derdi yok :) Güvenle alabilirsiniz. İyi Alışverişler :):),yenisey ve hepsi burada ikilisine teşekkür ediyorum :) anneme aldım bu üründen ve ertesi gün elimize ulaştı . ürün çok güzel cezve görevi görüyor ve taşma derdi yok :) güvenle alabilirsiniz . iyi alışverişler :) :),"ertesi, çok, güzel, yok, iyi",0.8779956427015252,1,1
