Görüş,label,Kelimeler,Toplam Ağırlık,binary_sonuçlar,Doğruluk
ürün gayet kaliteli ve çekim gücü çok güzel . fakat eşim halıları süpüremiyor çünkü çekim gücü çok yüksek olduğu için tekerlekleri hareket etmiyor . bu sıkıntı . borusu bence çok trt uyduruk bir şey hiç yumuşak değil çok sert her an kırılacak gibi . toz haznesi küçük olduğu için filtresini düzenli temizlerseniz verimli kullanırsınız .,1,"gayet, çok, güzel, çok, yüksek, çok, uyduruk, hiç, yumuşak, çok, sert, küçük",3.629454926624738,1,True
plastik yapısı çok kırılgan . her an başına bir şey gelebilir diye kutuda gezdiriyorum . bilseydin bu kadar ince ve kırılgan olduğunu almazdım .,0,"çok, kırılgan, ince, kırılgan",1.0194444444444444,1,False
harika düşünmeden alın kusursuz👍🏻 her yönüyle fiyatını hakediyor,1,harika,0.09166666666666666,1,True
sadece bir kere durulamasana yapıyor beni düşündüren bu sadece,0,"sadece, sadece",-0.679245283018868,0,True
"ben son derece memnunum . aslına bakarsanız zaman içerisinde yıpranma olacağını düşündüğüm için bu konuda youtube yorumlarına falan göz atmaya karar vermiştim . oysa ki hem ekonomik hem de klasik bir makine söz konusu olduğunda farklı seçeneklerin ön plana çıktığını söyleyebilirim . yalnız alman kalitesi olması nedeniyle bu makinenin son derece başarılı olduğunu da belirtmeden geçemeyeceğim . ben çok çamaşır yıkarım , aynı zaman da ekonomik olmasını isterim diyenler varsa kesinlikle düşünmeden alsınlar derim .",1,"son, memnun, ekonomik, yalnız, son, çok, aynı, ekonomik, kesin",1.391719077568134,1,True
ürünüm sağlamdı fakat hafta kullandım hiç bir değişim gözlemedim tavsiye etmem yararı yok,0,"sağlam, hiç, yok",-1.7379979035639412,0,True
ürünü fiyat olarak benzerleri ile karşılaştırarak teknoloji marketlerde inceleyerek burdan aldım . 10 numara 5 yıldızı bu fiyata 100 kere hak ediyor tavsiye ederim .,1,benzer,0.002777777777777778,1,True
ürünü aldım şükür bir sıkıntı çıkmadı 2 aydır kullanıyorum bir problem yaşamadım tavsiye ederim .,1,,0.0,-1,False
wqefwfewfverfwefwef,0,,0.0,-1,False
çok güzel kaliteli bir ürün,1,"çok, güzel",1.425,1,True
ürünün çekiş kuvveti çok iyi . ancak çok gürültülü .,1,"çok, iyi, çok",2.4,1,True
arzum ar1066 çırpma yaparken dibini iyi almıyor,0,iyi,0.4,1,False
güvenilir satıcı indirimli fiyat almak isteyenlere tavsiye ederim . . 👌,1,,0.0,-1,False
bende yeni aldım ama tarif yok gerçekten kızarmasana için ne kadar yağ koyacağız ne yapacağız bellindeğil içinde tarif kitapçığı olsa daha iyi olurdu,0,"yeni, yok, gerçekten, ne, ne, daha, iyi",0.047222222222222165,1,False
çok beğendik,1,çok,1.0,1,True
kızartma yaparken sıçrayan ve her yeri kirleten yağlardan bıktıysanız işte tam size göre olan bir ürün . ne kızartırsanız kızartınız sıçrama pislenme derdi yok ve her şeyi çok güzel şekilde kızartıyor ve üstelik çok az miktar yağ kullanarak yağdan tasarruf edebilirsiniz . gerçekten tavsiye edebileceğim bir ürün :),1,"tam, ne, pis, yok, çok, güzel, üstelik, çok, az, gerçekten",1.5517819706498952,1,True
öncelikle ürün elimize kısa süre de ulaştı . içi ve dişinin çelik olması bizim önceliğimizdi . diğer markalarda benzer ürünlerle kıyaslandığında eksiği yok denebilir . çalışırken sesi biraz yüksek ama ne kadar önemli tartışılır . demlik kısmının kapağı mevcut ancak demliksiz kullanmak istediğinizde ikinci bir kapak çıkmadı ( fakat demliğin kapağı almada uyuyor ),1,"kısa, diğer, benzer, yok, biraz, yüksek, ne",-1.1002096436058701,0,False
harika bir ürün çok beğendim,1,"harika, çok",1.0916666666666666,1,True
5 yıldır kullanıyorum bu aldığım 2 ci süpürge makinası . torbalı süpürge makinası kullanıyorum ama arnica bora su filtreli makinanın yerini tutmuyor toz moz bırakmıyor çook güzel bu makinayı üretenlere teşekkür ederim elleri dert görmesin ... .,1,güzel,0.425,1,True
"ürünü almadan önce yorumları okudum . sessiz çalışıyor filan yazıyordu . fakat tamamen hayal kırıklığı . kesinlikle çok sesli çalışıyor . sanki 80 model merdaneli çamaşır makinesi aldım onu kullanıyorum . çamaşır makinem sıkma programında bile bu kadar ses çıkarmıyor . mutfağım ayrı salonumda tv sesi açıkken bile salonun mutfağa en uzak mesafesinde çalışma sesini su alma sesini , su fışkırtan pervanelerin dönem sesini çok net yanındaymışsın gibi duyuyorum . keşke burada ses kaydı gönderme özelliği olsa da şu anda çalışma sesini gönderebilsem . bide kurutması çok kötü . kesinlikle kurutmuyor . sepette damlacağızlar kalırmış . önce alt sepeti boşaltıp sonra üst sepeti boşaldırmam gerekmiş falan filan . sanki ilk defa bulaşık makinesi kullanıyoruz . tamamen saçmalık . servis geldiğinde de bu sesin normal olduğunu iddia ediyor . kurutma içinde yukarıda yazdığım şeyleri söylediler . cidden şaka gibi bir makine . kesinlikle tavsiye etmiyorum . bu bulaşık makinesi büyük bir pişmanlıktır .",0,"tamamen, kesin, sanki, bile, ayrı, bile, en, uzak, çok, keşke, çok, kötü, kesin, önce, sanki, ilk, tamamen, saçmalık, normal, cidden, kesin, büyük, pişman",1.510849056603773,1,False
"ürünü teslim aldım , servisine sordum , kendiniz kurabilirsiniz dedi , bende kürdüm , ama cihazda bir anormallik vardı , hava emmiyordu dü , servisini çağırdım gelip baktılar , motorun teki çalışmıyormuş , o motoru değiştirmek için götürdüler . bence arnica süpürgede iyi aspiratörde değil , süpürgedeki kaliteye bakıp ta aspiratör alınca böyle oldu . almanızı kesinlikle tavsiye etmem .",0,"anormal, var, iyi, ta, böyle, kesin",0.7277777777777779,1,False
plastik yazıyor ama plastik değil sanırım değil mi her yer de çelik yazıyor siz de plastik aldım ama şüpheye düştüm,0,,0.0,-1,False
"istediğiniz her şeyi yapabiliyor ister çırpınız ister doğrayın , sesi rahatsız edecek kadar çok değil diğer blendirlara göre ve pratik kullanışlı olmasını seviyorum . keklerim sayesinde daha fazla kabarmaya başladı",1,"çok, diğer, daha, fazla",1.4944444444444442,1,True
ürün güzel sessiz çalışıyor .,1,güzel,0.425,1,True
dik süpürge den aldım 1 aya kalmadan normal süpürge aldım 1 yıla kalmadan çekiş gücü yok seviyesine geldi filtresini temizleyince o gün iyi çekiyor sonra yine çekmiyor yıldırdı beni resmen hiç tavsiye etmiyorum,1,"dik, normal, yok, iyi, sonra, yine, resmen, hiç",-1.254664570230608,0,False
işletim sistemini kurup güncellemeleri aldığımda bozuldu .,0,,0.0,-1,False
ızgarayı eziyete dönüştürmek istiyorsanız alın,0,,0.0,-1,False
ilgisiz satıcı kargo büyük ihtimalle telefonla dahi bilgi alamadıgio kendisine geri döndü ürünü teslim alamadan sipariş tamamlandı .,0,"büyük, geri",0.12777777777777777,1,False
ertesi gün geldi hızlı kargo güzel ürün,1,"ertesi, güzel",0.45,1,True
davlumbazı mı 15.01.2018 tarihinde asıl ev aletleri sitesinden aldım . herkes gibi araştırma ve inceleme sonucunda . muadillerine göre en ucuzu ve program özellikleri en iyi olanı . çekme gücü çok iyi ( mutfağım 11m2 ) görüntüsü ve her şeyden önemlisi çalışırken çıkardığı ses makul ölçülerde . normalde tercih etmediğim bir markaydı ama aldım memnun kaldım . beyaz eşya ve elektronik aletler şans işidir . almayı düşünenlere iyi niyetlerimle tavsiye ederim .,0,"asıl, muadil, en, ucuz, en, iyi, çok, iyi, makul, memnun, beyaz, elektronik, iyi",2.725,1,False
tasarımı güzel ama 5 para etmez,0,güzel,0.425,1,False
olumlu yönleri : kısa sürede doğrayıveriyor olumsuz yönleri : başlık sürahiye zor yerleşiyor,1,"olumlu, kısa, olumsuz, zor",-0.3905660377358491,0,False
olumlu yönleri : telefon tam anlamıyla sıfır kalitesinde . teşekkürler olumsuz yönleri : kutu içinde şarj cihazı mevcut . yanında bir de kulaklık olsaymış mükemmel olurdu dü .,1,"olumlu, tam, olumsuz, mükemmel",-0.1202306079664571,0,False
tam 14 gün sonra geldi,0,"tam, sonra",0.1388888888888889,1,False
4 aydır sorunsuz kullanıyorum,1,,0.0,-1,False
derin dondurucu fotoğraflarında buz kalıpları görünüyor kurulum yapıldı buz dondurma kalıbı için herhangi bir malzeme çıkmadı uğur biraz sanki malzemeden çalmış diğer firmaların dondurucularında kapı bölümünde kalıplar var kaliteyi ucuza vermek için malzeme eksildirmeye gerek yok,0,"derin, herhangi, biraz, sanki, diğer, var, ucuz, yok",-1.0168763102725367,0,True
trust marka eski optik Museum koltuk üzerinde daha iyi yanıt veriyordu . bu hep takılıyor . aldığıma çok pişman oldum 7 tl lık çin mouselerinden hiç farkı yok . iyi yorumların hepsi masa üzeri kullanıyorlar heralde :(,0,"eski, daha, iyi, hep, çok, pişman, hiç, yok, iyi",0.04292452830188698,1,False
sorunsuz elime ulaştı ve ürün kalitesi çok güzel,1,"çok, güzel",1.425,1,True
evet çok güzel beğendim teşekkürler,1,"evet, çok, güzel",1.4583333333333335,1,True
idare eder,0,,0.0,-1,False
hızlı şarj etmiyor ilk geldiğinde kapak tırnakları oturmamış ben bastırarak oturdurdum iade etmeyi düşündüm teferruat çok ayrıca başka sitede daha ucuzu var hızlı şarj eden .,0,"ilk, çok, ayrıca, başka, daha, ucuz, var",1.738888888888889,1,False
fiyatı da kullanışı da çok iyi,1,"çok, iyi",1.4,1,True
beğendim,1,,0.0,-1,False
ürünü aldığıma pişman oldum açıkçası en büyük göz tam anlamıyla yanmıyor diğerlerindede ara ara aynı sorun var orta göz kendi kendine gazı kesiyor hiç memnun kalmadım tavsiye etmem,0,"pişman, açıkçası, en, büyük, tam, aynı, var, hiç, memnun",-0.3077568134171907,0,True
"çekiş , emiş , hiç bir şey yok . bir motor çalışıyor ama . hiçbir işlevi yok . bu ne biçim iş",0,"hiç, yok, yok, ne",-2.712997903563941,0,True
"artık alışverişleri teknosadan yapmayı düşünüyorum . müşteri güven ister , o da teknosada var . müşteri ile ilişkileri yerinde . başka yerden aldığım cihazım 4 aydır teknik serviste olduğunu söyledim . . teknosa görevlisi ise buradan aldığın ürün serviste 20 günü geçerse gel ücretini ben vereyim dedi . benimde aradığım güven buydu ... böyle olunca samsung g610 j7 primeyi güvenle almayı düşünüyorum .",1,"artık, başka, teknik, ise, böyle",0.10833333333333334,1,True
markalı diye tercih ettim ama kötü . alınmaz .,0,kötü,-0.3584905660377359,0,True
"menteşe kırıldı , şarj makinası bozuldu ve en kötüsünü de plastik malzeme hamur gibi esniyor ... ilçelerde özellikle servis sıkıntı oluyor . işlemciden dolayı aşırı ısınma ve bunu hissediliyor . fan tek olduğundan yetersiz geliyor ! ! ! bu devirde tek fan mı kaldı kmde amd işlemci ! ! !",0,"en, kötü, hamur, özellikle, aşırı, tek, yetersiz, tek",-0.11734800838574425,0,True
ürünü burdaki yorumlara istinaden aldım hepsi burada farkıyla bir günde geldi . ama üçüncü kullanmada üst gövde hamuru yoğururken alt gövdeden ayrıldı ve makina kendisini durdurdu . . 15 gün oldu alalı şimdi tamire gidecek maalesef,0,"şimdi, maalesef",-0.08432914046121591,0,True
"tavsiye etmiyorum demlik kısmında çok delik var , süzgeç taksanda çok bir işe yaramıyor . bazen kaynasa bile düğme kendiliğinden atmıyor .",0,"var, çok, bazen, bile, kendiliğinden",0.8486897274633124,1,False
güzel paketleme . üründe hata yok . tavsiye ederim .,1,"güzel, yok",-0.575,0,False
alalı tam 1 yıl oldu . 1089 liraya almıştım . tabi kimse de bu tlf yok tereddüt ederek aldım birazda . iyi ki de almışım . kasma donma yavaşlama yok . kullanımı kolay . çoğu 2000-3000tl lık marka tlf tarla başa baş kapışır . hatta Hatti'si daha fazla . mı 9 güncellemesiyle tlf resmen level atladı . alacaklara tavsiyem güzel tlf şüpheniz olmasın bizi yarı yolda bırakacak diye falan al kullan keyfine bak .,1,"tam, tâbi, yok, biraz, iyi, yok, kolay, çoğu, daha, fazla, resmen, güzel",-0.877987421383648,0,False
inanılmaz sesli çalışıyor,0,,0.0,-1,False
"ürün sağlam , teslimat hızlı",1,sağlam,0.06388888888888888,1,True
kargo işlemi daha hızlı olsaydı mükemmel olurdu,1,"daha, mükemmel",0.39166666666666666,1,True
güzel ama ağzı biraz dar ve akıtıyor,1,"güzel, biraz",0.11367924528301881,1,True
henüz kullanmadım çeyizim için aldım ama güzel görünüyor yorumlarda iyiydi,1,"henüz, güzel, iyi",0.7400943396226416,1,True
"olumlu yönleri : gayet kaliteli ve güzel , bu fiyata en güzel ürün diyebilirim",1,"olumlu, gayet, güzel, en, güzel",1.2111111111111112,1,True
berbat ötesi bir fırın yeni evlendim aldım çok şık duruyordu e marka güzel güvenerek aldım pişman oldum zırt pırt duruyor çok çok geç pişiriyor illallah ettik eşimle ben . şu an bende elden çıkarıyorum bir siteye koydum yerinede termikel süper ötesi fırını aldı canım annem ve babam allah razı olsun onlardan ve bu fırını yapanlardan . işte bu dedirtti bize canavar resmen canavar 😍😍😍,0,"berbat, yeni, çok, şık, güzel, pişman, çok, çok, geç, süper, razı, işte, resmen, canavar",3.0816037735849053,1,False
berbat,0,berbat,-0.17924528301886788,0,True
artık eskisi gibi çekmiyor o konuda sıkıntı yaşadım ona da baktıracağım onun dışında çok güzel ve kaliteli bir ürün ışıklı olması çok güzel bir özellik tozlar yerdekiler çok iyi görünüyor çekim gücü de çok iyi ben beğendim,1,"artık, eski, çok, güzel, çok, güzel, çok, iyi, çok, iyi",5.559014675052412,1,True
"siyah renk davlumbaz bacası çizik geldi . siyah renk üzerinde beyaz çizik net şekilde belli oluyor bu yüzden bacasız kullanıyorum . mağaza ile birkaç kez iletişim kurdum , fabrikadan gönderileceğini söylediler ama hiç gelmedi . 1 ayı aşkın süredir arayan soran da yok . kısacası ne yazık ki ilgisiz mağaza .",0,"siyah, siyah, beyaz, belli, hiç, yok, kısacası, ne",-1.6629979035639415,0,True
ürün güzel teşekkür ederim,1,güzel,0.425,1,True
"maalesef , ızgara güzel ama temizlenmesi çok zor vidalı mekanizma",0,"maalesef, güzel, çok, zor",1.1231132075471697,1,False
ürün arızalı geldi asus teknik servisi ile çözdüm . satıcı bu konuda kesinlikle yardımcı olmuyor bilginize .,0,kesin,0.11666666666666667,1,False
"sinbo ürünleri genelde en kalite olmasa da fiyat performans ürünleridir . sinbonun saç kurutma makinasını , katilini , yumurta makinasını yıllarca kullandım ama bu ürün olmamış , bıçak yapısı mı , şişe yapısından mı , motor gücünden mi anlamadım parçalanmayan kısımlar kalıyor , alttan sıvı akıyor , şişeler bildiğin kötü malzeme . sinbo bu makinayı bu şekilde piyasada tutarsa markasına çok zarar verir . hepsiburada sayıcılarına da bu modeli satıp insanları mağdur etmemeye çağırıyorum . .",0,"genelde, en, yıllarca, kötü, çok, mağdur",0.7270964360587001,1,False
aktarımı çok yavaş,0,"çok, yavaş",0.9245283018867925,1,False
"kutu içeriğinde yıkama aparatı olmaması çok kötü , ekstra para ile satılması çok saçma . tıpa olmadan yıkadıktan sonra dalgınlıkla ıslak kullanarak can güvenliğini tehlikeye atabilirsiniz .",0,"çok, kötü, ekstra, çok, dalgınlıkla, ıslak",1.6226415094339621,1,False
çok başarılı ve güçlü bulduğum bir blender . 1000w çok güçlü parçalıyor herşeyi çorbada çok kullanıyorum özellikle .,1,"çok, çok, çok, özellikle",3.0277777777777777,1,True
hızlı kargo güzel ürün,1,güzel,0.425,1,True
"güzel ürün , keşke gri metal renkli olsaydı sapı daha güzel olurdu , siyah çıktı , bundan hariç ürün güzel . teşekkürler",1,"güzel, keşke, gri, daha, güzel, siyah, güzel",1.6472222222222221,1,True
"ofiste kullanmak için aldım çok kaliteli bir ürün , artık soğuk yemek yemiyoruz",1,"çok, artık, soğuk",1.012788259958071,1,True
çayı gayet güzel demliyor . hiç düşünmeden alın,1,"gayet, güzel, hiç",-0.1963312368972746,0,False
süper bir ürün bayılıyorum,1,süper,0.03611111111111111,1,True
"fiyat / performans iyi ,",1,iyi,0.4,1,True
"orta boyutta , kullanışlı ve şık bir tost makinesi",1,,0.0,-1,False
oldukça faydalı bir ürün,1,oldukça,0.027777777777777776,1,True
almayın dayanaklı bir ürün değil boyası atıyor arızalanıyor,0,,0.0,-1,False
ürünün görseli güzel ama kendisi bu parayı hak etmiyor . düğmeler çok ucuz plastik ve çalışma performansı vasat aldığıma pişman oldum başkasına verdim kullanamadığım için,0,"güzel, çok, ucuz, pişman, başka",1.2691299790356396,1,False
"ürün 7 yıl garantili yazıyordu aldım 3 yıl garantili geldi , ürün yanında çatal bıçak takımı hediye yazıyordu göndermediler . ürün teslimatı sırasında bu eksikliklerin sonra 1 hafta içerisinde giderileceğini söylediler ama yapmadılar . . haram zıkkım olsun . . böyle bir esnaflık olmaz . .",0,böyle,0.04722222222222222,1,False
ürünü 2016 temmuzda aldım . 3 ay içinde panelde gölgelenme meydana geldi . kimseye önermiyorum .,0,,0.0,-1,False
kullanışlı baya,1,,0.0,-1,False
olumlu yönleri : ben ilk defa bu kadar sessiz bir süpürge gördüm . . gece 12 de kalk ev süpürsene yan odadaki bile duymaz . . çekişimde gayet iyi . . olmuşken iyisi olsun dedik . . parasına değer,1,"olumlu, ilk, bile, gayet, iyi, iyi",0.8098008385744235,1,True
ürünü aldık kurduk çalıştırdık . hem fiyatı hem de kalitesinden memnun kaldık . kargonun nerde olduğu bilgileri bize verdiler .,1,memnun,0.23055555555555557,1,True
kargo geç geldi . dağıtıcı firmanın bir sorunuydu . onun dışında bir problem yoktu . ürün güzel,1,"geç, yok, güzel",-0.6221698113207548,0,False
"olumlu yönleri : telefonu zaten çok araştırarak almıştım , yanıltmadı beni . . herkesin telefondan beklentisi farklıdır , benim beklentimi fazlasıyla karşıladı . . ayrıca ürün o kadar korumalı bir şekilde geldi ki şaşırmadım desem yalan olur😉satıcıya ve siteye teşekkür ederim . .",1,"olumlu, zaten, çok, fazlasıyla, ayrıca",1.211111111111111,1,True
arkadaşlar ürün çok güzel ve de sessiz çalışıyor . kargo hızlıydı fakat ben kargoyu takip edemedim ( ceva lojistik ) . onun dışında bir sıkıntı yok . mağaza da güvenilir bu arada,1,"çok, güzel, yok",0.42500000000000004,1,True
"kesinlikle çok kullanışlı . pahalı markalara hiç gerek yok gayet güzel iş görüyor , kısa sürede köpüklü kahve pişirebilirsiniz . yıkaması da kolay .",1,"kesinlikle, çok, pahalı, hiç, yok, gayet, güzel, kısa, kolay",-0.19229559748427671,0,False
arzum rondoyu cam hazinesinden dolayı beğenerek aldım . aldığım günden beri sıkıntılı çalışıyordu . 7 ay oldu arızalandı sonunda . servise gönderdik kullanıcı hatası dediler 70 tl ücret karşılığında yapacaklarını bildirdiler . plastik aksanı bozulmuş . ürünün kendisini 110 tl aldım zaten . bir daha bu markadan bir şey almam kimseye de tavsiye etmem,0,"sonunda, zaten, daha",0.4083333333333333,1,False
ürünü alalı tam iki yıl oldu ... hiç bir sıkıntısı yok tavsiye ederim hem ucuz hem kaliteli ... tekrar teşekkürler ...,1,"tam, hiç, yok, ucuz",-1.6935534591194967,0,False
aldık bakalım nasıl olacak daha kullanmadım . kurulum falan iyi .,1,"nasıl, daha, iyi",0.8055555555555556,1,True
"kayınvalideme hediye olarak aldım , memnun kaldı",1,memnun,0.23055555555555557,1,True
kurulum için verdiğiniz 444 numarayı aradık ama dönüş yapılmadı yardımcı olur musunuz,0,,0.0,-1,False
firma farklı ürün gönderdi . eksi not ... .,0,eksi,0.0,-1,False
touchpedi 3 metreden bile çalışmıyor verdiğim paraya yazık oldu . hızlı kargo ve paketlemesi sağlamdı,0,"bile, sağlam",-0.25686582809224323,0,True
fazlası var eksiği yok kesinlikle çok iyi,1,"fazla, var, yok, kesin, çok, iyi",0.7666666666666667,1,True
ürün çok kötü . kargo işi bir felaket hiç bulaşmayın . 15 günde zor geldi . davlumbaz kumandalı değil ama içinden kumanda çıktı .,0,"çok, kötü, hiç, zor",-0.35849056603773577,0,True
oradan buradan çıkan ürünü gelişi güzel kutulayıp göndermişler,0,güzel,0.425,1,False
ürün 2 lt kapasitesiyle bir aileye fazlasıyla yetiyor çok pratik ve kullanışlı bence çok para vermeye gerek yok zaten bu ürünler ömürlük olmuyor kızgın yağa maruz kaldığı için bir süre sonra kirlenmeye ve koku yapmaya başlıyor 2 yıl beni götürse yeter tefal de alsam değişmeyecek bence fiyatıyla öne çıkan bu ürün herkeste olması gereken bir malzeme,1,"fazlasıyla, çok, çok, yok, zaten, kızgın, maruz, sonra",1.1266771488469602,1,True
bayıldım !,1,,0.0,-1,False
"pratik hızlı , keyifle kullanıyorum",1,,0.0,-1,False
henüz belli değil kargo aşamasını beğenmedim,0,"henüz, belli",-0.06546121593291403,0,True
teşekkür ederim güzel bir ürün . hızlı kargo tavsiye ederim . .,1,güzel,0.425,1,True
arçelik marka tiryaki çay makinası ( k 3282 in Knox 1850 - 2200 w ) modelini aldım . çaycı ( 6 yıl ) kullandık şimdi arıza yaptı . arçelik yetkili servisinde yedek parça yok . normalde bu tür ürünlerin en ( 7 ile 10 yıl ) parça bulundurma zorunluluğu vardır . ama parça yok ürün çöpe atılacak . bundan önce yine arçelik marka çaycı kullandım yine aynı sorun . bu nedenle mağdur oldum . sizde aynı sorunu yaşamayın .,0,"şimdi, yetkili, yok, en, zorunlu, var, yok, yine, yine, aynı, mağdur, aynı",-1.5144129979035637,0,True
